order_number,table_number,timestamp,items_summary,universal_comment,order_total,printed_status,items_json
UE-1776229763030,Uber,2026-04-15 00:09:24,1x California Roll | 1x Shrimp Tempura Roll,Simulated,,No (routed),"[{""name"": ""California Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}, {""name"": ""Shrimp Tempura Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}]"
13,N/A,2026-04-15 12:13:32,1x Sweet Potato Roll | 1x Asparagus Roll | 1x Shrimp Tempura Roll,,,Yes (routed),"[{""name"": ""Sweet Potato Roll"", ""quantity"": 1, ""price"": 8.95, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}, {""name"": ""Asparagus Roll"", ""quantity"": 1, ""price"": 8.95, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}, {""name"": ""Shrimp Tempura Roll"", ""quantity"": 1, ""price"": 12.95, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}]"
14,N/A,2026-04-15 12:26:30,1x Asparagus Roll | 1x Avocado Roll | 1x Shrimp Tempura Roll | 1x Spider Roll | 1x Sweet Potato Roll,,,Yes (routed),"[{""name"": ""Asparagus Roll"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""quantity"": 1, ""price"": 8.95, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}, {""name"": ""Avocado Roll"", ""nameZh"": ""\u725b\u6cb9\u679c\u5377"", ""quantity"": 1, ""price"": 7.95, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}, {""name"": ""Shrimp Tempura Roll"", ""nameZh"": ""\u5929\u5987\u7f57\u867e\u5377"", ""quantity"": 1, ""price"": 12.95, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}, {""name"": ""Spider Roll"", ""nameZh"": ""\u8718\u86db\u5377"", ""quantity"": 1, ""price"": 14.95, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}, {""name"": ""Sweet Potato Roll"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""quantity"": 1, ""price"": 8.95, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}]"
UE-1776273999301,Uber,2026-04-15 12:26:43,1x California Roll | 1x Shrimp Tempura Roll,Simulated,,Yes (routed),"[{""name"": ""California Roll"", ""nameZh"": ""\u52a0\u5dde\u5377"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}, {""name"": ""Shrimp Tempura Roll"", ""nameZh"": ""\u5929\u5987\u7f57\u867e\u5377"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""comment"": """", ""category"": ""Regular Roll""}]"
IPP-1776306698,IPP,2026-04-15 21:32:21,1x PDF job saved: ipp-job-20260415_213138_458243.pdf,,,Yes (routed),"[{""name"": ""PDF job saved: ipp-job-20260415_213138_458243.pdf"", ""nameZh"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-1776306711,IPP,2026-04-15 21:32:30,1x PDF job saved: ipp-job-20260415_213150_975857.pdf,,,Yes (routed),"[{""name"": ""PDF job saved: ipp-job-20260415_213150_975857.pdf"", ""nameZh"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-20260415_213643_680481,IPP,2026-04-15 21:36:57,1x mazada | 670x for 60 month 1.9,,,Yes (routed),"[{""name"": ""mazada"", ""nameZh"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""for 60 month 1.9"", ""nameZh"": """", ""quantity"": 670, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-20260415_213643_677117,IPP,2026-04-15 21:36:58,1x mazada | 670x for 60 month 1.9,,,Yes (routed),"[{""name"": ""mazada"", ""nameZh"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""for 60 month 1.9"", ""nameZh"": """", ""quantity"": 670, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-20260415_213914_030417,IPP,2026-04-15 21:39:25,1x Captured print job ipp-job-20260415_213913_438042.pdf,,,Yes (routed),"[{""name"": ""Captured print job ipp-job-20260415_213913_438042.pdf"", ""nameZh"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-20260415_214558_246912,IPP,2026-04-15 21:46:07,1x Captured print job ipp-job-20260415_214557_045826.pdf,,,Yes (routed),"[{""name"": ""Captured print job ipp-job-20260415_214557_045826.pdf"", ""nameZh"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-20260415_214535_821106,IPP,2026-04-15 21:46:12,1x Captured print job ipp-job-20260415_214533_670177.pdf,,,Yes (routed),"[{""name"": ""Captured print job ipp-job-20260415_214533_670177.pdf"", ""nameZh"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
